episode_id,sql_select_count,sql_join_count,sql_selection_predicate_count,sql_equality_predicate_count,sql_non_equality_predicate_count,sql_aggregate_function_count,sql_nested_query_count,sql_cte_count,sql_table_reference_count,sql_group_by_present,sql_group_expression_count,sql_distinct_present,sql_order_by_present,sql_order_expression_count,sql_limit_present,sql_topk_present,sql_set_operation_count,sql_window_function_count,plan_main_node_count,plan_blocking_operator_count,plan_sort_operator_count,plan_aggregate_operator_count,plan_join_operator_count,plan_window_operator_count,plan_limit_operator_count
q07_tenant_count::run-1,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,7,2,1,1,0,0,1
q07_tenant_count::run-2,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,7,2,1,1,0,0,1
q08_tenant_avg::run-1,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,7,2,1,1,0,0,1
q08_tenant_avg::run-2,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,7,2,1,1,0,0,1
q08_tenant_avg::run-3,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,7,2,1,1,0,0,1
q09_tenant_max::run-1,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q09_tenant_max::run-2,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q09_tenant_max::run-3,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q09_tenant_max::run-4,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q10_tenant_min::run-1,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q10_tenant_min::run-2,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q10_tenant_min::run-3,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q10_tenant_min::run-4,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q10_tenant_min::run-5,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q11_tenant_high_count::run-1,4.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q12_tenant_user_sum::run-1,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q12_tenant_user_sum::run-2,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q13_tenant_user_count::run-1,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q13_tenant_user_count::run-2,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q13_tenant_user_count::run-3,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q14_tenant_day_sum::run-1,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q14_tenant_day_sum::run-2,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q14_tenant_day_sum::run-3,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q14_tenant_day_sum::run-4,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q15_tenant_day_count::run-1,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q15_tenant_day_count::run-2,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q15_tenant_day_count::run-3,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q15_tenant_day_count::run-4,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
q15_tenant_day_count::run-5,4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,8,2,1,1,0,0,1
