query_run_id,query_id,execution_status,collection_error_count,fdw_remote_probe_status,plan_fingerprint,remote_plan_fingerprint,table_count_stratum,expected_count,selection_hash,region_fragment_count,worker_task_fragment_count,plan_file_count,baseline_status,eu_status,us_status,comparison_status,database_result_rows_persisted
20260727T120003Z-stats-ceb-full-no-refit-v1__stats-ce--4c6ad677a93d--_no_refit__stats_ceb_multiregion_count__query_id-11,11,completed,0.0,disabled,f8de8fdf074f6da0cebf3081bc9cb30f8e855a7a41772ff10ab1e77bff1b3a6e,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb,3,326559,03c6224c1d9883b3fc9d65655a02b624937104a55fbf339bba6e1f01463a0d99,2.0,0.0,25.0,passed,passed,passed,passed,False
20260727T120036Z-stats-ceb-full-no-refit-v1__stats-ce--98dedb4548e0--_no_refit__stats_ceb_multiregion_count__query_id-12,12,completed,0.0,disabled,730e334404a48ccf6c6cc497f1e77a4a9fe72a4542f74286890ac02873b31c8f,8a03e9825460266c1c5ee6b8115fa4d46cc72fa4e44bea59b3694a1eb82ca698,3,1018612,a5f6aa6b6ee81ad7fda341a3a71459408ee0a3c1aa99f801d653a3c7786d8a05,4.0,128.0,5.0,passed,passed,passed,passed,False
20260727T120054Z-stats-ceb-full-no-refit-v1__stats-ce--705b678c2f15--_no_refit__stats_ceb_multiregion_count__query_id-13,13,completed,0.0,disabled,3025234f33590352dc5dca7339411d8a9bdef0c4f41fb307b71cb3b628a6218d,8a03e9825460266c1c5ee6b8115fa4d46cc72fa4e44bea59b3694a1eb82ca698,3,315516,f7a904938dd9a8f17c67a81b392e66b2b9ce8b7c4185bf8e4f516b62ed000af7,4.0,128.0,5.0,passed,passed,passed,passed,False
20260727T120111Z-stats-ceb-full-no-refit-v1__stats-ce--8634fbcdddb7--_no_refit__stats_ceb_multiregion_count__query_id-14,14,completed,0.0,disabled,96803022a543daffd0da86a15e72d68ce6611900e4d67ac2c8df3ddc03f98f8a,50421a6b08cb38f9d1a9d60edd5da8908294441dba11e03b5c4c198eb2ff88a4,3,200,071a9ee366f5f38cc9a5972e2eedda60bd754b8144ed5289883054f46ac235fa,2.0,0.0,24.0,passed,passed,passed,passed,False
20260727T120143Z-stats-ceb-full-no-refit-v1__stats-ce--fa1db4e3efb6--_no_refit__stats_ceb_multiregion_count__query_id-15,15,completed,0.0,disabled,b23bd19ca52bd9f4067f0597211c2edbaa4461353f45366d396ddfdfe3b767e2,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5,3,10223864,51b0b73682c3d581eaf505d46f21a307d66a76e3932bd4c292fd4e1d7b7b6cba,2.0,64.0,3.0,passed,passed,passed,passed,False
20260727T120200Z-stats-ceb-full-no-refit-v1__stats-ce--eb48bb0b100d--_no_refit__stats_ceb_multiregion_count__query_id-16,16,completed,0.0,disabled,76eea6dffafa94b26b52cbd55ab48a2acd680e58152b8ffcbe9bb194dceea774,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5,3,245567,7c5dd45ad1c287cc4b4390c234f72d29ec534b587dc6706cba93eac31da55f86,2.0,64.0,3.0,passed,passed,passed,passed,False
20260727T120215Z-stats-ceb-full-no-refit-v1__stats-ce--e61d25524c7c--_no_refit__stats_ceb_multiregion_count__query_id-17,17,completed,0.0,disabled,2ca7ef20cab7c066627d487ae08e103f2fd233005b039c85944f8124d9f9202f,db9edd4b62cb130629216e9f1d52ea2fcf937094284eec209deb6239204134b4,3,70752,b4aa51eebe6941532af9b10e3e47849a30cd5cf392311ce85b3d2694d2f7f23e,6.0,130.0,7.0,passed,passed,passed,passed,False
20260727T120234Z-stats-ceb-full-no-refit-v1__stats-ce--b1b6578c060b--_no_refit__stats_ceb_multiregion_count__query_id-18,18,completed,0.0,disabled,bbc42eac44e47f43b3ef8c0160b220da63138dfbbc7ed03865900b0ee34809ee,db9edd4b62cb130629216e9f1d52ea2fcf937094284eec209deb6239204134b4,3,63500,7628ff33ceddfc5f1223186e7debaab46fcad95ca1dd179627fc1ea097cf00ba,6.0,192.0,7.0,passed,passed,passed,passed,False
20260727T120253Z-stats-ceb-full-no-refit-v1__stats-ce--6fb8a6573a07--_no_refit__stats_ceb_multiregion_count__query_id-19,19,completed,0.0,disabled,742a9b3ee791f350d6e485d68a5a96ffd06a6e369a34e553faa6573f9493145d,db9edd4b62cb130629216e9f1d52ea2fcf937094284eec209deb6239204134b4,3,10895,5d826635462b8dd13cc4cf1a01aba8db114fd938a74b1e0de7c7a1a3275bbc33,6.0,130.0,7.0,passed,passed,passed,passed,False
20260727T120309Z-stats-ceb-full-no-refit-v1__stats-ce--f90b8fa6e1c6--_no_refit__stats_ceb_multiregion_count__query_id-20,20,completed,0.0,disabled,4daf11026a557a5cb7c2924268678414224b8f88bfc3ecdd308cac05851ea5f2,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5,3,251068,d36604795d86acdcc459096593961660dbd533fb6c9b4d4cbcc7948c3a7af123,2.0,64.0,3.0,passed,passed,passed,passed,False
20260727T120324Z-stats-ceb-full-no-refit-v1__stats-ce--06d3fdce2b76--_no_refit__stats_ceb_multiregion_count__query_id-21,21,completed,0.0,disabled,7a45f48fb1d962e3e97b598bcc56f863608bb9361cbdce3ef56a9fd6fad53c3b,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5,3,26836,b41acc671eec0e03467991912fe995c6d814026bc7ab31dbdb81afc0339a9a3e,2.0,64.0,6.0,passed,passed,passed,passed,False
20260727T120339Z-stats-ceb-full-no-refit-v1__stats-ce--9fd2158832f7--_no_refit__stats_ceb_multiregion_count__query_id-22,22,completed,0.0,disabled,61fd68f7b69b9b172162340cce120950d40cc2700efff5eb793d6ef2a937654e,0d5f4f0f434da6ba770502d9c82d3918e338fe4bf9f9f10d7ac0aba9168a037d,3,2488080,6708ac1fbcc344de2f053eeef4f16d07594020e07e4cc6b8da2a83942406153f,2.0,0.0,48.0,passed,passed,passed,passed,False
20260727T120410Z-stats-ceb-full-no-refit-v1__stats-ce--5818fe568b14--_no_refit__stats_ceb_multiregion_count__query_id-23,23,completed,0.0,disabled,8d3fc6a3778d2331edc361564e90fba96025185ae6a4ab98e0ee37d338d4b29c,b0ccfed2dc179f83477b412aaf1b4587f19d86f9c7fa5ae4e3bb07577d0f53c5,3,144017,c05d30e0dc375793bf959d4c0cea9965f18fd35aba146ab1103945318f9a0c02,4.0,66.0,16.0,passed,passed,passed,passed,False
20260727T120426Z-stats-ceb-full-no-refit-v1__stats-ce--d2a47dcf4b80--_no_refit__stats_ceb_multiregion_count__query_id-24,24,completed,0.0,disabled,04046ceae9f9ae94a1013dc6b88689b36f3276d3201ce821f99c42b7b387bc74,8bd812b9402a5dbc659d060828fb788168b7164ba5685afdc7bc13b7fd0a6057,3,4582,df0f709d29ebc70d129864b1e8064a42ecbe9c23c06eb48b01f3437a6f9b00be,2.0,64.0,21.0,passed,passed,passed,passed,False
20260727T120441Z-stats-ceb-full-no-refit-v1__stats-ce--b92de91365e3--_no_refit__stats_ceb_multiregion_count__query_id-25,25,completed,0.0,disabled,16b168452763867cfe3f600ca50361c3bd044196f3bbc548e1e07de6b9c1de42,a68b372e2ddc6263d1b38abce0c93461f441f3cfd3874f113281e722f370083c,4,176191,e7cf87d8963c2ab69e828a04ca2be9bb299fe1f9fa78b545d26860a030104429,6.0,192.0,29.0,passed,passed,passed,passed,False
20260727T120458Z-stats-ceb-full-no-refit-v1__stats-ce--009fabcba823--_no_refit__stats_ceb_multiregion_count__query_id-26,26,completed,0.0,disabled,98dd937cb9c28ecda5795e7e0ab90580cbb5cabdbd441121a3a6e4593fb3cf79,7f885d44991605d977e5e1eee97ccac8ad9fbde0f0e26b033bedcf21a0304169,4,25033,ebc15284bf5273c43b6eb8e309967c756502903aa7e54b1d0f938ed71b30f12f,6.0,130.0,35.0,passed,passed,passed,passed,False
20260727T120517Z-stats-ceb-full-no-refit-v1__stats-ce--b78595f21206--_no_refit__stats_ceb_multiregion_count__query_id-27,27,completed,0.0,disabled,a8b2127841f8dcc670fc09f004bea31e2b3a8a27f6dc0981cf8f70c6d7fbd3ed,070d68a49030b54e510dd1caa02ebbd9a64313e5a6ef577683d364794f1867a3,4,42036,0c19407ede8790d43d6e0a8644a57c7398e4653e22c28ec12688bbbeef24baa1,2.0,0.0,194.0,passed,passed,passed,passed,False
20260727T120558Z-stats-ceb-full-no-refit-v1__stats-ce--a1744d5d9f76--_no_refit__stats_ceb_multiregion_count__query_id-28,28,completed,0.0,disabled,8ff11b1b0f878cbb27ad3a198822fac82c02e5e62d70e6e96165feb2497bd9ec,6ed01f521847f01429fc2fb679390ba96866ce821db94061174921be9e83207e,4,16049150,46ad54b5cf11af05ae071dfbc6f5a4f119bf4a7fc1d7f89f0aa468c51c73ca05,8.0,132.0,57.0,passed,passed,passed,passed,False
20260727T120625Z-stats-ceb-full-no-refit-v1__stats-ce--3e12a9896a01--_no_refit__stats_ceb_multiregion_count__query_id-29,29,completed,0.0,disabled,0f7ad7dbdab7b371491be804da90659883ddad9561abc687b67dec87fcfab01a,4c041a591b3d95aa4c299826c8ddd838355e2e7bd1c8422d5db81617cd08d1d3,4,595820,928a7b94559e5623ed21f82c3ec604b73aa333dd0f8e70b891c17d98659ad602,2.0,64.0,23.0,passed,passed,passed,passed,False
,30,,,,,,4,232039659,14c2e6f5f39b0c271a5f70aa685d259d4bdab4307041473322ad20e947479ccb,,,,passed,timeout,timeout,timeout,False
20260727T120640Z-stats-ceb-full-no-refit-v1__stats-ce--f42e44dd24b6--_no_refit__stats_ceb_multiregion_count__query_id-31,31,completed,0.0,disabled,229db335942436271723a5edc36b74b673fe1aeed67fb5b49e1ec43806bc5a67,562cf71494a4c05fd4615fe729c3537be4c1f4da95a3c7ac5051a9d953371d9c,4,6672465,f59044a6b4136a5c02d495e613599bf431e74b11236288b50e4bdf00192be620,4.0,128.0,45.0,passed,passed,passed,passed,False
20260727T120704Z-stats-ceb-full-no-refit-v1__stats-ce--4123fef53a01--_no_refit__stats_ceb_multiregion_count__query_id-32,32,completed,0.0,disabled,3ae5731ee097b2d2da68996585fe86f94b1e7bd7d852c1313163acb1a1ba75ae,b760bbfd3d778ce4202866ac3ba45b4ae3ec25b93b14f7ced11513b52819b8a8,4,19402569,336190f5fdffc79d1d40d34623856956f53042777782823ce35e95e3d0ef7b35,2.0,0.0,199.0,passed,passed,passed,passed,False
20260727T120747Z-stats-ceb-full-no-refit-v1__stats-ce--4cfa0890dc63--_no_refit__stats_ceb_multiregion_count__query_id-33,33,completed,0.0,disabled,fea773f9a567dbc6086c39732af8e5af2efa6128314bce0b07e049565c0c7151,3d9a501f1f50f4ae24a949c0edd6041fe9ddcc02fe755a83e76ce899045476bd,4,6299,129548bacef5cff4429e9fa3d36836b2244c2aa2b99522f289b47a113e7a4050,4.0,64.0,95.0,passed,passed,passed,passed,False
,34,,,,,,4,593169291,a7f793239f6a3c54f65c0ebfccb4853a3ce06d479658716c2034ef70b31d1762,,,,passed,timeout,timeout,timeout,False
20260727T120823Z-stats-ceb-full-no-refit-v1__stats-ce--940213eb07bd--_no_refit__stats_ceb_multiregion_count__query_id-35,35,completed,0.0,disabled,b0199e1787c45afc2e54f38df6081b0ad396995495f7d1b569af79aa4db61b0e,1f03dda1d03ca98ca63c2c56dc76799b515eb1f2fc9b57ffcebdf8aa2eb0b31d,4,3169724,f4b35e108ddc5a8640db5b88dcc1e4529e58b8d9503d8fd20ed08ed835ebdcfd,2.0,0.0,86.0,passed,passed,passed,passed,False
20260727T120856Z-stats-ceb-full-no-refit-v1__stats-ce--01b8759d412a--_no_refit__stats_ceb_multiregion_count__query_id-36,36,completed,0.0,disabled,954cda1dacb96804cec227b49d273518bade5e866d0c3f7467a7fe478e986b0e,dc901e371e4e05174ac6ad37b3fdb54da8e3745450194117b2ea1ad3ccec55e5,4,52313,f733b5c334bf9bc240f1b00a1754f8e6548e970a956f856316103be45a393d26,2.0,0.0,85.0,passed,passed,passed,passed,False
20260727T120928Z-stats-ceb-full-no-refit-v1__stats-ce--baa21348fcba--_no_refit__stats_ceb_multiregion_count__query_id-37,37,completed,0.0,disabled,334d33d4d22ae3b0bbccfa41b63c838a23ac91665a70483c8c9e33031b7806d6,54fe55778ec3f451dcf4982cca0747597e0ff5c280effc1f069995c57050e700,4,1633681,74994194086a1c1e6ccba410f7d890bc2f8ef996edd48636e57d36ae6154b41e,6.0,192.0,51.0,passed,passed,passed,passed,False
20260727T120952Z-stats-ceb-full-no-refit-v1__stats-ce--3dea5d36442c--_no_refit__stats_ceb_multiregion_count__query_id-38,38,completed,0.0,disabled,64a7e86f3fdc027493cd34d215bfb0f3820405a330fb0f24368fb5507deef630,4e8000a425768c4b68349d9014a45df7cdb24adc7785ca5403a1b204b1285cfd,4,105742741,883cf3ccc8971673864f305bd73695d79376c7d82dc5ed28f3417a42a8b935ff,2.0,0.0,136.0,passed,passed,passed,passed,False
20260727T121049Z-stats-ceb-full-no-refit-v1__stats-ce--9c378f93220d--_no_refit__stats_ceb_multiregion_count__query_id-39,39,completed,0.0,disabled,a0fa20b1d444e84339178be20c354f085b3f507efaa7779d832ddf2607a66520,34dc0b245205625c46e74e8d2f2be1794833ec61d501110b60eb5b41e51e3941,4,2034610,932265d386597be83f66eb4b7544e9f45694e9b0e1125f25b75a3e58b263cc9d,2.0,0.0,86.0,passed,passed,passed,passed,False
20260727T121121Z-stats-ceb-full-no-refit-v1__stats-ce--a42d2ecd145a--_no_refit__stats_ceb_multiregion_count__query_id-40,40,completed,0.0,disabled,a25fa243bf2ef0bbc4fc20f95d837f696d02bf0c4c8608b3e948ab3c85ae0a72,0b6952d9562ee4b1d039a34b96b5ac720905875106afc3a5c445e23b69e7509d,4,28565,191c0c641a2bbc7e734645655e9b1a6dbbf3d904f00ef1bebfa21529d1526957,2.0,0.0,82.0,passed,passed,passed,passed,False
20260727T121153Z-stats-ceb-full-no-refit-v1__stats-ce--61f8bf4ebb18--_no_refit__stats_ceb_multiregion_count__query_id-41,41,completed,0.0,disabled,5c387bb481f6d18f6038c5ca2b6ad0f3161fa12759b35be536c3b367fc1ce366,19da7ef3d9d2c201f1359434b06ca62ae1c895bfc7f201e87e621f31f4847b0b,4,1717,26573528c2e4343435b0b3083ac289f817bf23a7835c331ca583a41179849fee,2.0,0.0,80.0,passed,passed,passed,passed,False
20260727T121224Z-stats-ceb-full-no-refit-v1__stats-ce--2365ef160cc8--_no_refit__stats_ceb_multiregion_count__query_id-42,42,completed,0.0,disabled,181184175483e46f109388362be20a035e3851ea3763f893fa2ac61116205f79,d66699711083dcf0e1d630df62b393a452d02277bf37ee66fe8205a9d29d6a6b,4,896180,0678a8e99b3c3c4c0874bb0acc49aa20ac883365ccffa33cc210256e80b6b6da,4.0,66.0,39.0,passed,passed,passed,passed,False
20260727T121246Z-stats-ceb-full-no-refit-v1__stats-ce--bef3f74020aa--_no_refit__stats_ceb_multiregion_count__query_id-43,43,completed,0.0,disabled,e26ecf5672735dfdcb6d209bf447f75854df6e559c07830277d5244ed6d2086d,80c6d4b1e992d3bcb434fe08a88e14da57e15ed96ce65057a59b82d9efd01f91,4,7661811,ebcc71aa29c373a6ba6b9df20b05fc6a4ac405da6642aaf404ad503ef0279282,2.0,0.0,88.0,passed,passed,passed,passed,False
20260727T121320Z-stats-ceb-full-no-refit-v1__stats-ce--06c758499697--_no_refit__stats_ceb_multiregion_count__query_id-44,44,completed,0.0,disabled,50a40e02fb73b48903b53b9be1da9af36f2ec1ea9213f1f5271d5aeadbacf4b3,3348f240186cf5327b1dc8c54e2e3f382af6a376fd383cce8838e09ac1d9bbf3,4,2101105,71d7530ee0974ccfe6440f0a33e43bc945d851fbd64ef6056cb95ff91696db6e,2.0,0.0,82.0,passed,passed,passed,passed,False
,45,,,,,,4,6272,6a80411deb2179f4b92e51936ab060133f8d770b71194191253cb4ddd2550650,,,,passed,timeout,timeout,timeout,False
20260727T121351Z-stats-ceb-full-no-refit-v1__stats-ce--016037691c34--_no_refit__stats_ceb_multiregion_count__query_id-46,46,completed,0.0,disabled,16fe97aea412fb127c2bec000ef1d47f6cf11254685b0b3a9217149beb506553,9147918ff43b4da8e96d4b22e33f6f05a4e119c58706e7199f1f81a831293923,5,454094,f35ecc6f7c08976b7bfa1024e805f6a9f160f8f5ac9108c59bbf2db4fc37f4ec,2.0,64.0,25.0,passed,passed,passed,passed,False
20260727T121406Z-stats-ceb-full-no-refit-v1__stats-ce--0990036f0917--_no_refit__stats_ceb_multiregion_count__query_id-47,47,completed,0.0,disabled,7a50b72c3b4210572a2f3aafaf303c279301c8578a094b5de8c05f1113a63e3b,508f15d93ab45ab012ba27dc6ce8ee07431f28972ed800b91f2350818615664c,5,60601561,5b8506b8371adae54879706c18c5dd9e637a293bcd6301a17027733c3646bd15,2.0,0.0,375.0,passed,passed,passed,passed,False
20260727T121526Z-stats-ceb-full-no-refit-v1__stats-ce--ed7ed30f4959--_no_refit__stats_ceb_multiregion_count__query_id-48,48,completed,0.0,disabled,bc0221508e6f662c4f31d352da66a555c85d4f7f86188721e78ae2b690910fcc,a68b372e2ddc6263d1b38abce0c93461f441f3cfd3874f113281e722f370083c,5,224,523b45aebd50a5e3306181fd446a40afddf85b89af9d2044263df0b700e41b48,6.0,192.0,31.0,passed,passed,passed,passed,False
20260727T121542Z-stats-ceb-full-no-refit-v1__stats-ce--c6f3d13743a0--_no_refit__stats_ceb_multiregion_count__query_id-49,49,completed,0.0,disabled,28155a265cef74da9e7c5a942361012c12fe3fc6b3e381ff51a94bf20c7b4262,cc79178cb70ef64e3f7bfd47ebfa95d43c32de50c1d25a42f786d63c4bb1e0b6,5,18597973,b14023e08ebbf76a600a9757355889b1bdd09ccee28e85399694eddab6b08fe4,2.0,0.0,252.0,passed,passed,passed,passed,False
20260727T121648Z-stats-ceb-full-no-refit-v1__stats-ce--816d4588344d--_no_refit__stats_ceb_multiregion_count__query_id-50,50,completed,0.0,disabled,a91893c8432f54af70fc9cf377c83411a171c289c59e2816b15a33413a49c889,32178bc4854f7d5c9c498e7aea499728ac0ab7619ea6d58e782bf00bffd944f7,5,9812,5a3a9b92530810693f6a0b6ccad0b2418512316f314c755c3522729a7032de69,2.0,0.0,197.0,passed,passed,passed,passed,False
20260727T121730Z-stats-ceb-full-no-refit-v1__stats-ce--4cbe11eb13e9--_no_refit__stats_ceb_multiregion_count__query_id-51,51,completed,0.0,disabled,4d61b2e0336c56ffebd89a719bb14ea70dfdbbb14968e95430f82c996b279ea8,acb376911f3deea0aa02f2cbe6a2fed79b6ca4983d55c3bb8d860e5cb88f29a1,5,86914174,a0a6ca8e845e72a539c6df28718ac2ea95f67cd06dd058e010f676d3a84e9e66,2.0,0.0,232.0,passed,passed,passed,passed,False
20260727T121825Z-stats-ceb-full-no-refit-v1__stats-ce--20faaaceabc6--_no_refit__stats_ceb_multiregion_count__query_id-52,52,completed,0.0,disabled,12834a68fa15658a02b1d4e48926219461b4da2008022cb67064a6aeac3f7fad,4d2e43e7f547fb961a6681b01c058e4abbfd5e25df6bdb257022856e0ceaa987,5,228748307,c3edf0801ec018f815d956be9cb8678bc62cb1dd6f026007b31f53da728aa089,2.0,0.0,252.0,passed,passed,passed,passed,False
20260727T121931Z-stats-ceb-full-no-refit-v1__stats-ce--6bd8e852fe89--_no_refit__stats_ceb_multiregion_count__query_id-53,53,completed,0.0,disabled,467a18badaaf764a1f54605ba772fec6b7649da2df7430e007a5f107091fd796,0319a70d463eef3212712050584a6e74c2d9435accc62a9e39b25f96ecb068d4,5,913441,aad74271bb7398e2fdd471abddb2240d44b41fe373873604dd0dcbe5b6d9f56b,10.0,196.0,39.0,passed,passed,passed,passed,False
20260727T121949Z-stats-ceb-full-no-refit-v1__stats-ce--65af180658cd--_no_refit__stats_ceb_multiregion_count__query_id-54,54,completed,0.0,disabled,c2a429b221d3074538c0bd54a98abb82f0428299792f7537a4a927829c0ebb02,23a02332abaf5a2d872585f89220be253a72821c2d699dd75b5446ec049b25ef,5,4801,3c2580bbd7a497205722697f236adf439577e05caed7a9307850a9c4b8f643b8,2.0,0.0,204.0,passed,passed,passed,passed,False
20260727T122034Z-stats-ceb-full-no-refit-v1__stats-ce--99eb8577f8f9--_no_refit__stats_ceb_multiregion_count__query_id-55,55,completed,0.0,disabled,389d58dedc1356f51f7bb4fdfc9e9622d8efeaa34e72d997d4054475261dc8e5,5b2b9dd3c718963affdd7569a0686110e53447088deefd10b5394850a4878c5b,5,14413,49d00a91a2949f46f83dce370022af8093b12244d08eddebfc1048b5f7da1c0f,10.0,134.0,41.0,passed,passed,passed,passed,False
20260727T122053Z-stats-ceb-full-no-refit-v1__stats-ce--0f5ee8601132--_no_refit__stats_ceb_multiregion_count__query_id-56,56,completed,0.0,disabled,ac300f59c29c1c9251430e8a88840e6d898b1594509ac731977d4326f903f32d,b945448f402ae1f682f0daa0d9ab19be77c19bb217f32ab18a3628f74898997b,5,15887370,d6c5a2d2f7f541743a0184ec40242fca929735fae23a9d8bb6ead0bf864012d0,10.0,134.0,57.0,passed,passed,passed,passed,False
20260727T122119Z-stats-ceb-full-no-refit-v1__stats-ce--56d71e5fa919--_no_refit__stats_ceb_multiregion_count__query_id-57,57,completed,0.0,disabled,eccbc2cf44953ccf343a80c708483f75da97cf1aa2688ebbdc016e8b5010e0d4,cf6a38035ed78ad2225e66afc863fc915b8c9c11ee4a3127471fe9edad71d9b5,5,5091,ca601d977020eeabd5df7c1081e6ea3776c520558e0d57046016527bcfe2e35c,4.0,2.0,103.0,passed,passed,passed,passed,False
,58,,,,,,6,17849233970,930f833b3f7199a3cb3c0ed3d9df8f898469a05ca33e01bb91b09e80a69a4c68,,,,timeout,timeout,timeout,timeout,False
20260727T122159Z-stats-ceb-full-no-refit-v1__stats-ce--9f26aa4328b9--_no_refit__stats_ceb_multiregion_count__query_id-59,59,completed,0.0,disabled,4bf91559a94c65342f88f6e2b5f181bd4497d171be60acf97e7bdc78973b14a7,6dea494e5a7c7575d6420602f9cdaa3c1e501e1259ed725488750c1b0e81cf12,6,88962973,84ce7718c5262d0d0379c38d119a1f3609c611513bea53c73a374be1ddd1283f,2.0,0.0,384.0,passed,passed,passed,passed,False
20260727T122319Z-stats-ceb-full-no-refit-v1__stats-ce--27ab191ab1e8--_no_refit__stats_ceb_multiregion_count__query_id-60,60,completed,0.0,disabled,8d5567ad57e790b4b23f98adb2e56aad73210266f101ddd253728de5f52968e2,e0a99492d7af48e53686b91dc59e42824297af5200b0088e650b3d3f7952a232,6,11947976,9825f14c200bd08a136c07adda957967980d92b7b625ebf555e17816af23d1cf,10.0,258.0,51.0,passed,passed,passed,passed,False
