rounded_vector_hash,row_count,query_ids,plan_fingerprint_count,remote_plan_fingerprint_count,query_run_ids
1f743e1a4d47ec2c,1,28,1,1,20260727T120558Z-stats-ceb-full-no-refit-v1__stats-ce--a1744d5d9f76--_no_refit__stats_ceb_multiregion_count__query_id-28
23aad8126034acba,1,77,1,1,20260727T124424Z-stats-ceb-full-no-refit-v1__stats-ce--eeb4621fdf19--_no_refit__stats_ceb_multiregion_count__query_id-77
2516383f335ab704,1,139,1,1,20260727T132037Z-stats-ceb-full-no-refit-v1__stats-ce--df5c5c659377--no_refit__stats_ceb_multiregion_count__query_id-139
2c6256f35f61f551,1,90,1,1,20260727T124911Z-stats-ceb-full-no-refit-v1__stats-ce--2b40205a1d4d--_no_refit__stats_ceb_multiregion_count__query_id-90
2dda1c2a3c17003f,1,9,1,1,20260727T115914Z-stats-ceb-full-no-refit-v1__stats-ce--12174756d103--l_no_refit__stats_ceb_multiregion_count__query_id-9
2dedae64a11f9596,1,123,1,1,20260727T131207Z-stats-ceb-full-no-refit-v1__stats-ce--c931fe3227bd--no_refit__stats_ceb_multiregion_count__query_id-123
3150bc0fe8325760,1,71,1,1,20260727T123753Z-stats-ceb-full-no-refit-v1__stats-ce--f5430f06326c--_no_refit__stats_ceb_multiregion_count__query_id-71
329935d63b9450f1,1,75,1,1,20260727T124329Z-stats-ceb-full-no-refit-v1__stats-ce--72f3957fc57f--_no_refit__stats_ceb_multiregion_count__query_id-75
33dd862aea53cbde,1,13,1,1,20260727T120054Z-stats-ceb-full-no-refit-v1__stats-ce--705b678c2f15--_no_refit__stats_ceb_multiregion_count__query_id-13
3438ae8ff8b77fad,1,145,1,1,20260727T133321Z-stats-ceb-full-no-refit-v1__stats-ce--884fb2f9b52f--no_refit__stats_ceb_multiregion_count__query_id-145
35335e019b874737,1,55,1,1,20260727T122034Z-stats-ceb-full-no-refit-v1__stats-ce--99eb8577f8f9--_no_refit__stats_ceb_multiregion_count__query_id-55
3b4ef65947f78e8c,1,53,1,1,20260727T121931Z-stats-ceb-full-no-refit-v1__stats-ce--6bd8e852fe89--_no_refit__stats_ceb_multiregion_count__query_id-53
3c781fb382afccdc,1,21,1,1,20260727T120324Z-stats-ceb-full-no-refit-v1__stats-ce--06d3fdce2b76--_no_refit__stats_ceb_multiregion_count__query_id-21
47ff004758008193,1,133,1,1,20260727T131659Z-stats-ceb-full-no-refit-v1__stats-ce--8a1a9579cea7--no_refit__stats_ceb_multiregion_count__query_id-133
4c4246f622f6a77b,1,72,1,1,20260727T124046Z-stats-ceb-full-no-refit-v1__stats-ce--05356b09cf1c--_no_refit__stats_ceb_multiregion_count__query_id-72
4fe4fef6bf548319,1,62,1,1,20260727T122417Z-stats-ceb-full-no-refit-v1__stats-ce--97a6df2a45af--_no_refit__stats_ceb_multiregion_count__query_id-62
53f625300a1c58d0,1,42,1,1,20260727T121224Z-stats-ceb-full-no-refit-v1__stats-ce--2365ef160cc8--_no_refit__stats_ceb_multiregion_count__query_id-42
5ccf2e1c76fc7402,1,141,1,1,20260727T132401Z-stats-ceb-full-no-refit-v1__stats-ce--a82d36999fed--no_refit__stats_ceb_multiregion_count__query_id-141
5d2ad7b7274859db,1,87,1,1,20260727T124837Z-stats-ceb-full-no-refit-v1__stats-ce--3ad4fbb43134--_no_refit__stats_ceb_multiregion_count__query_id-87
67369dc7776fba52,1,12,1,1,20260727T120036Z-stats-ceb-full-no-refit-v1__stats-ce--98dedb4548e0--_no_refit__stats_ceb_multiregion_count__query_id-12
68442ee56b959743,1,102,1,1,20260727T125521Z-stats-ceb-full-no-refit-v1__stats-ce--f24af4e7f9c9--no_refit__stats_ceb_multiregion_count__query_id-102
6cc1ddd8e27d4447,1,92,1,1,20260727T124950Z-stats-ceb-full-no-refit-v1__stats-ce--689eb9dd8414--_no_refit__stats_ceb_multiregion_count__query_id-92
6d9707bf19290741,1,100,1,1,20260727T125449Z-stats-ceb-full-no-refit-v1__stats-ce--64b7a3f53030--no_refit__stats_ceb_multiregion_count__query_id-100
6e4a1cb069c62a52,1,56,1,1,20260727T122053Z-stats-ceb-full-no-refit-v1__stats-ce--0f5ee8601132--_no_refit__stats_ceb_multiregion_count__query_id-56
73029acea1a509eb,1,144,1,1,20260727T133249Z-stats-ceb-full-no-refit-v1__stats-ce--38b46bc207e5--no_refit__stats_ceb_multiregion_count__query_id-144
752ede1ab985245c,1,138,1,1,20260727T132012Z-stats-ceb-full-no-refit-v1__stats-ce--e848245a93b8--no_refit__stats_ceb_multiregion_count__query_id-138
75d8d1ad0f3a901e,1,73,1,1,20260727T124123Z-stats-ceb-full-no-refit-v1__stats-ce--ca588f50c6bf--_no_refit__stats_ceb_multiregion_count__query_id-73
7824284cb51c1430,1,26,1,1,20260727T120458Z-stats-ceb-full-no-refit-v1__stats-ce--009fabcba823--_no_refit__stats_ceb_multiregion_count__query_id-26
807f4ae3fd36d7a0,1,57,1,1,20260727T122119Z-stats-ceb-full-no-refit-v1__stats-ce--56d71e5fa919--_no_refit__stats_ceb_multiregion_count__query_id-57
82058bfca627a094,1,85,1,1,20260727T124759Z-stats-ceb-full-no-refit-v1__stats-ce--fc3567017f16--_no_refit__stats_ceb_multiregion_count__query_id-85
82b6aa5c83649e5d,1,2,1,1,20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2
8618d826d5ac5d89,1,99,1,1,20260727T125315Z-stats-ceb-full-no-refit-v1__stats-ce--892b0264a82c--_no_refit__stats_ceb_multiregion_count__query_id-99
86f72168c8dac4a9,1,17,1,1,20260727T120215Z-stats-ceb-full-no-refit-v1__stats-ce--e61d25524c7c--_no_refit__stats_ceb_multiregion_count__query_id-17
998a0e30d951a141,1,76,1,1,20260727T124408Z-stats-ceb-full-no-refit-v1__stats-ce--1cc84b23aa7c--_no_refit__stats_ceb_multiregion_count__query_id-76
a043525eac58ce04,1,31,1,1,20260727T120640Z-stats-ceb-full-no-refit-v1__stats-ce--f42e44dd24b6--_no_refit__stats_ceb_multiregion_count__query_id-31
a128feb7b6d4cf88,1,25,1,1,20260727T120441Z-stats-ceb-full-no-refit-v1__stats-ce--b92de91365e3--_no_refit__stats_ceb_multiregion_count__query_id-25
a287ea34a3245f6d,1,1,1,1,20260727T115549Z-stats-ceb-full-no-refit-v1__stats-ce--6ad9e47ac3c4--l_no_refit__stats_ceb_multiregion_count__query_id-1
a4a6c7d5e9d235cf,1,24,1,1,20260727T120426Z-stats-ceb-full-no-refit-v1__stats-ce--d2a47dcf4b80--_no_refit__stats_ceb_multiregion_count__query_id-24
a819edc055cc76ac,1,48,1,1,20260727T121526Z-stats-ceb-full-no-refit-v1__stats-ce--ed7ed30f4959--_no_refit__stats_ceb_multiregion_count__query_id-48
a8e6d57e988918f3,1,110,1,1,20260727T130356Z-stats-ceb-full-no-refit-v1__stats-ce--1abc04aa22a1--no_refit__stats_ceb_multiregion_count__query_id-110
b085c50fb2f08c9d,1,113,1,1,20260727T130507Z-stats-ceb-full-no-refit-v1__stats-ce--3efb33ba5e98--no_refit__stats_ceb_multiregion_count__query_id-113
b2ac6b6dac1e56b9,1,98,1,1,20260727T125243Z-stats-ceb-full-no-refit-v1__stats-ce--c7456aa7194e--_no_refit__stats_ceb_multiregion_count__query_id-98
b34d69ab982989cb,1,20,1,1,20260727T120309Z-stats-ceb-full-no-refit-v1__stats-ce--f90b8fa6e1c6--_no_refit__stats_ceb_multiregion_count__query_id-20
b37582f35531410a,1,6,1,1,20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6
b6bec128f808d014,1,19,1,1,20260727T120253Z-stats-ceb-full-no-refit-v1__stats-ce--6fb8a6573a07--_no_refit__stats_ceb_multiregion_count__query_id-19
bbb124929bb0cec5,1,16,1,1,20260727T120200Z-stats-ceb-full-no-refit-v1__stats-ce--eb48bb0b100d--_no_refit__stats_ceb_multiregion_count__query_id-16
bd678e4230eab35d,1,83,1,1,20260727T124708Z-stats-ceb-full-no-refit-v1__stats-ce--fd67457a2e36--_no_refit__stats_ceb_multiregion_count__query_id-83
c6e2be168400def6,1,101,1,1,20260727T125505Z-stats-ceb-full-no-refit-v1__stats-ce--380f8e37fae8--no_refit__stats_ceb_multiregion_count__query_id-101
c8b6273caf56877f,1,33,1,1,20260727T120747Z-stats-ceb-full-no-refit-v1__stats-ce--4cfa0890dc63--_no_refit__stats_ceb_multiregion_count__query_id-33
cdc562a59d2fa1f3,1,96,1,1,20260727T125142Z-stats-ceb-full-no-refit-v1__stats-ce--852f591d0b8d--_no_refit__stats_ceb_multiregion_count__query_id-96
cdc64b108e8b3eaf,1,112,1,1,20260727T130446Z-stats-ceb-full-no-refit-v1__stats-ce--e64c0470e55f--no_refit__stats_ceb_multiregion_count__query_id-112
cfc5748aed3746d1,1,69,1,1,20260727T123251Z-stats-ceb-full-no-refit-v1__stats-ce--40fbf1047276--_no_refit__stats_ceb_multiregion_count__query_id-69
d173a363b5a49806,1,95,1,1,20260727T125118Z-stats-ceb-full-no-refit-v1__stats-ce--fd3faaa10393--_no_refit__stats_ceb_multiregion_count__query_id-95
d1aef9fcb176a306,1,94,1,1,20260727T125059Z-stats-ceb-full-no-refit-v1__stats-ce--987611190541--_no_refit__stats_ceb_multiregion_count__query_id-94
d31f15337fa90828,1,74,1,1,20260727T124240Z-stats-ceb-full-no-refit-v1__stats-ce--390aaac352ae--_no_refit__stats_ceb_multiregion_count__query_id-74
d768fe2446dd4f02,1,129,1,1,20260727T131500Z-stats-ceb-full-no-refit-v1__stats-ce--0b203d14eb3f--no_refit__stats_ceb_multiregion_count__query_id-129
d863633b50d8b621,1,78,1,1,20260727T124443Z-stats-ceb-full-no-refit-v1__stats-ce--447eaf57f536--_no_refit__stats_ceb_multiregion_count__query_id-78
e607639c0d276ca2,1,60,1,1,20260727T122319Z-stats-ceb-full-no-refit-v1__stats-ce--27ab191ab1e8--_no_refit__stats_ceb_multiregion_count__query_id-60
e6eb7a313056b052,1,29,1,1,20260727T120625Z-stats-ceb-full-no-refit-v1__stats-ce--3e12a9896a01--_no_refit__stats_ceb_multiregion_count__query_id-29
e7466ded0886fc43,1,37,1,1,20260727T120928Z-stats-ceb-full-no-refit-v1__stats-ce--baa21348fcba--_no_refit__stats_ceb_multiregion_count__query_id-37
e8e6289de1197b8d,1,118,1,1,20260727T131047Z-stats-ceb-full-no-refit-v1__stats-ce--3e4025774092--no_refit__stats_ceb_multiregion_count__query_id-118
e9b687f85e66d348,1,127,1,1,20260727T131430Z-stats-ceb-full-no-refit-v1__stats-ce--25359a07acac--no_refit__stats_ceb_multiregion_count__query_id-127
eb3b77e864b542a3,1,91,1,1,20260727T124930Z-stats-ceb-full-no-refit-v1__stats-ce--057f0d8a3b25--_no_refit__stats_ceb_multiregion_count__query_id-91
f03a118dedb3b074,1,128,1,1,20260727T131445Z-stats-ceb-full-no-refit-v1__stats-ce--8a66e3514ef9--no_refit__stats_ceb_multiregion_count__query_id-128
f3ba49ef34d9e13b,1,146,1,1,20260727T133337Z-stats-ceb-full-no-refit-v1__stats-ce--5eec9cca207b--no_refit__stats_ceb_multiregion_count__query_id-146
f4356e91098262e7,1,86,1,1,20260727T124822Z-stats-ceb-full-no-refit-v1__stats-ce--984caf793334--_no_refit__stats_ceb_multiregion_count__query_id-86
f4aae2a91e4c1a33,1,109,1,1,20260727T130341Z-stats-ceb-full-no-refit-v1__stats-ce--d1b347af3b71--no_refit__stats_ceb_multiregion_count__query_id-109
fc80a18d4752ec0a,1,124,1,1,20260727T131327Z-stats-ceb-full-no-refit-v1__stats-ce--f8ea0a3d067d--no_refit__stats_ceb_multiregion_count__query_id-124
fe44c83348f70a4c,1,115,1,1,20260727T130916Z-stats-ceb-full-no-refit-v1__stats-ce--f9e8950598b1--no_refit__stats_ceb_multiregion_count__query_id-115
