pair_id,correctness_recovery_status,stressed_row_count,mitigated_row_count,schema_equal,matched_row_count,exact_multiset_hash,max_floating_absolute_difference,max_floating_relative_difference,error,mitigation_action,intervention_role,pressure_axis,dataset_profile_id,template_id
pair-36ca898fc2abb496fd5a93c1,tolerance_equivalent,12,12,True,12,False,2.3283064365386963e-10,2.1522071446171824e-16,,remove_added_delay,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_global_user_join
pair-377c7f258e7f4056c185c7fb,exact_snapshot,1,1,True,1,True,0.0,0.0,,mitigate_remote_path_bundle,calibration,remote_path,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-39769307522ec4750a195d8a,tolerance_equivalent,1,1,True,1,False,2.3283064365386963e-10,3.665360308564293e-16,,disperse_hot_shards,negative_control,worker_data_skew,pilot-skew-heavy-v1,gac_fdw_multiregion_event_filter_summary
pair-4173d72a6e05a5753ca9d48d,tolerance_equivalent,2,2,True,2,False,2.658367156982422e-05,2.7455220867325416e-14,,increase_fetch_size,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-45f3e252daadb61d7017ab37,tolerance_equivalent,2,2,True,2,False,8.463859558105469e-06,8.741348347893108e-15,,remove_bandwidth_limit,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-46f786515ac044f971c38c83,tolerance_equivalent,1,1,True,1,False,1.1920928955078125e-06,6.326896766040934e-15,,remove_bandwidth_limit,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-473736cfa036dcf2fd1e9bf4,tolerance_equivalent,75,75,True,75,False,4.0745362639427185e-10,2.0947573868614666e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-48004c85db8c01df709602ae,tolerance_equivalent,12,12,True,12,False,9.313225746154785e-10,4.0872256024920914e-16,,mitigate_remote_path_bundle,positive_case,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_global_user_join
pair-4ad40154797754cc94eaa2b0,tolerance_equivalent,2,2,True,2,False,4.470348358154297e-08,1.988828503328474e-15,,mitigate_remote_path_bundle,positive_case,remote_path,pilot-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-4af113035c259249526aff4e,tolerance_equivalent,1,1,True,1,False,4.656612873077393e-10,2.5616374064025985e-16,,remove_bandwidth_limit,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-4deb88e23304fdcf0c5eb794,tolerance_equivalent,1,1,True,1,False,9.685754776000977e-08,5.0104800649309906e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-heavy-v1,gac_fdw_multiregion_event_filter_summary
pair-4fd5155d998d5279e2d43fa2,tolerance_equivalent,1,1,True,1,False,5.21540641784668e-08,2.720837497190618e-15,,mitigate_remote_path_bundle,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-50b616a0a8ac9d69af4ee6d6,tolerance_equivalent,50,50,True,50,False,8.731149137020111e-10,2.3874171013636886e-15,,disperse_hot_shards,positive_case,worker_data_skew,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_top_tenants
pair-54841009767aea4e17b0ffca,tolerance_equivalent,22,22,True,22,False,1.4901161193847656e-08,2.87539158386856e-16,,mitigate_remote_path_bundle,positive_case,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_global_user_join
pair-5e39070dd99c8f5950b6aba5,tolerance_equivalent,1,1,True,1,False,1.1641532182693481e-10,2.3333793224137805e-16,,disperse_hot_shards,negative_control,worker_data_skew,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_event_filter_summary
pair-5f5d796d3ec33e3c2fdeb4c2,tolerance_equivalent,1,1,True,1,False,4.470348358154297e-07,3.0829298874552986e-15,,increase_gac_work_mem,negative_control,gac_finalization,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-61b2fcd092b9ee4cb8f78bc8,exact_snapshot,1,1,True,1,True,0.0,0.0,,disperse_hot_shards,negative_control,worker_data_skew,raw-large-skew-heavy-v1,gac_fdw_multiregion_event_filter_summary
pair-67257a57ca7bbbf5ef5b5236,tolerance_equivalent,18,18,True,18,False,9.313225746154785e-10,1.714868894546736e-16,,mitigate_remote_path_bundle,positive_case,remote_path,pilot-balanced-v1,gac_fdw_multiregion_global_user_join
pair-68a988c786359a10476fd1df,tolerance_equivalent,1,1,True,1,False,2.3283064365386963e-10,1.2808187032012995e-16,,mitigate_remote_path_bundle,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-6bcbbfa73cc50f6c422d795c,tolerance_equivalent,2,2,True,2,False,1.862645149230957e-09,7.914210361831117e-16,,mitigate_remote_path_bundle,positive_case,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-6bda9fa8fbe1ff6b61695ef0,tolerance_equivalent,75,75,True,75,False,8.614733815193176e-09,4.143936775084508e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-6bf127f6b9399f7a307839b1,tolerance_equivalent,100,100,True,100,False,3.3760443329811096e-09,3.839999832776921e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-medium-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-6e2fc30c12d15d2aa14936b8,tolerance_equivalent,3,3,True,3,False,5.820766091346741e-11,2.261456879109165e-16,,null_join_strategy_intervention,negative_control,repartition_join,raw-small-balanced-wide-global-dim-v1,gac_fdw_tenant_tier_join
pair-7bc4ff79f27f431e5d36f56d,exact_snapshot,3,3,True,3,True,0.0,0.0,,null_join_strategy_intervention,negative_control,repartition_join,raw-small-balanced-v1,gac_fdw_tenant_tier_join
pair-82bbff233ef9a5b685a604fc,tolerance_equivalent,75,75,True,75,False,2.0954757928848267e-09,3.0015232141888287e-15,,disperse_hot_shards,positive_case,worker_data_skew,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_top_tenants
pair-882529f63310bc3684d3c704,tolerance_equivalent,2,2,True,2,False,9.872019290924072e-08,1.0212510498008881e-14,,mitigate_remote_path_bundle,positive_case,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-8b4f5eabd6d83a6d4370ba77,tolerance_equivalent,50,50,True,50,False,3.259629011154175e-09,2.771713477948354e-15,,disperse_hot_shards,positive_case,worker_data_skew,pilot-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-8b95404b1472d8a21b2da5dc,tolerance_equivalent,22,22,True,22,False,1.1920928955078125e-07,5.120753933400667e-16,,mitigate_remote_path_bundle,positive_case,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_global_user_join
pair-8d7acd7de7ec78780c942f2c,tolerance_equivalent,1,1,True,1,False,5.7220458984375e-06,3.941669049458914e-15,,increase_gac_work_mem,negative_control,gac_finalization,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-8e3f860d37c26fbaff46485d,tolerance_equivalent,1,1,True,1,False,1.043081283569336e-06,5.454457781469736e-15,,disperse_hot_shards,positive_case,worker_data_skew,pilot-skew-heavy-v1,gac_fdw_multiregion_event_filter_summary
pair-90733aed58f88e553284f5e9,tolerance_equivalent,12,12,True,12,False,1.1641532182693481e-10,2.1979401031199467e-16,,mitigate_remote_path_bundle,positive_case,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_global_user_join
pair-91ea0f9bf1c2a7ab71b9dac3,tolerance_equivalent,1,1,True,1,False,4.470348358154297e-07,2.3070671406227524e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-medium-skew-moderate-v1,gac_fdw_multiregion_event_filter_summary
pair-98d1870d0e1cc9dadb37d70c,tolerance_equivalent,1,1,True,1,False,5.820766091346741e-11,2.2850443636731437e-16,,increase_gac_work_mem,negative_control,gac_finalization,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-9974f0abf0655dca8cbb3c3e,tolerance_equivalent,2,2,True,2,False,4.0531158447265625e-06,4.185997800399492e-15,,remove_added_delay,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-9c1f9c2f66a6bd986bf54244,tolerance_equivalent,2,2,True,2,False,1.0728836059570312e-06,1.1114506271793143e-14,,mitigate_remote_path_bundle,positive_case,remote_path,pilot-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-a12fbbfd1dc3f7fc8c4da3eb,tolerance_equivalent,50,50,True,50,False,3.725290298461914e-09,3.5485035668796778e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-a25299a32526d925e97e5c97,tolerance_equivalent,50,50,True,50,False,1.0186340659856796e-10,1.0001734642859673e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-a4a8187b03c0cd4993fa52f9,exact_snapshot,1,1,True,1,True,0.0,0.0,,increase_fetch_size,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-a8d69e8a035c0204123b40b2,tolerance_equivalent,2,2,True,2,False,1.0989606380462646e-07,1.1331737636706493e-14,,remove_added_delay,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-a94749fb094f251feb01a7e9,tolerance_equivalent,1,1,True,1,False,4.291534423828125e-06,2.273627617225153e-15,,mitigate_remote_path_bundle,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-a99495e0059126a8096fc0e9,tolerance_equivalent,1,1,True,1,False,1.2814998626708984e-06,6.826381657266821e-15,,mitigate_remote_path_bundle,calibration,remote_path,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-ada39379a574cda9f65b3e3a,tolerance_equivalent,100,100,True,100,False,1.1408701539039612e-08,7.253120046294786e-15,,disperse_hot_shards,positive_case,worker_data_skew,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_top_tenants
pair-b2f3ce40131ea550019b9011,tolerance_equivalent,18,18,True,18,False,3.725290298461914e-09,1.5937097290344184e-16,,mitigate_remote_path_bundle,positive_case,remote_path,pilot-balanced-v1,gac_fdw_multiregion_global_user_join
pair-c26c260bdcbcd33f040098a9,tolerance_equivalent,22,22,True,22,False,2.9802322387695312e-08,2.87369421391077e-16,,increase_fetch_size,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_global_user_join
pair-c2bb5beb894d36c760806f17,tolerance_equivalent,1,1,True,1,False,5.960464477539063e-08,3.1634483830204844e-16,,increase_gac_work_mem,negative_control,gac_finalization,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-c6c103e3046af5fc7a1493f2,tolerance_equivalent,1,1,True,1,False,1.4551915228366852e-11,2.9759296824879765e-16,,disperse_hot_shards,negative_control,worker_data_skew,raw-small-skew-moderate-v1,gac_fdw_multiregion_event_filter_summary
pair-c7c2e208f89e623a3a17dc10,tolerance_equivalent,1,1,True,1,False,2.3543834686279297e-06,1.2173450268744773e-14,,disperse_hot_shards,positive_case,worker_data_skew,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_event_filter_summary
pair-ca1c763b11ed62ab94ab5603,tolerance_equivalent,100,100,True,100,False,3.259629011154175e-09,1.9338050190123997e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-cde94caab333e84d92fe5512,tolerance_equivalent,1,1,True,1,False,1.2516975402832031e-06,6.6460708526698715e-15,,remove_added_delay,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-d16fc75468e18ac4f4f74b96,tolerance_equivalent,90,90,True,90,False,1.1641532182693481e-10,4.472688095610949e-16,,null_join_strategy_intervention,negative_control,repartition_join,raw-small-balanced-v1,gac_fdw_tenant_tier_join
pair-d3974aaae57e81277dd10330,tolerance_equivalent,1,1,True,1,False,9.313225746154785e-10,2.413663923349941e-16,,increase_gac_work_mem,negative_control,gac_finalization,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-d4fe6a5c93d2bb85ea04eab3,tolerance_equivalent,2,2,True,2,False,3.5390257835388184e-08,3.661088669097536e-15,,remove_bandwidth_limit,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-df814422026066ea0a6f318a,tolerance_equivalent,75,75,True,75,False,2.444721758365631e-09,3.1049246500991483e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-e79fa1c1eab3537e9e1f973d,tolerance_equivalent,100,100,True,100,False,3.073364496231079e-08,6.384626125125121e-15,,disperse_hot_shards,positive_case,worker_data_skew,pilot-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-e7bbeb06f0c022224a14f535,tolerance_equivalent,1,1,True,1,False,5.125999450683594e-05,2.646508120763092e-14,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-heavy-v1,gac_fdw_multiregion_event_filter_summary
pair-e7fc4f121a5482f7d550aa95,tolerance_equivalent,50,50,True,50,False,5.960464477539063e-08,7.528563328611705e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-ea7f248ca0527ead5a479b93,tolerance_equivalent,90,90,True,90,False,5.820766091346741e-11,3.8631373309735316e-16,,null_join_strategy_intervention,negative_control,repartition_join,raw-small-balanced-wide-global-dim-v1,gac_fdw_tenant_tier_join
pair-ec025ab7bcd318e1bc1fa014,tolerance_equivalent,75,75,True,75,False,1.0244548320770264e-08,4.4990799209854945e-15,,disperse_hot_shards,positive_case,worker_data_skew,pilot-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-ecaf5fb4ee1abae1c36c4fa5,tolerance_equivalent,100,100,True,100,False,7.566995918750763e-10,1.7562886328005714e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-f412fd26ceb84ee11d4b8c2c,tolerance_equivalent,1,1,True,1,False,5.6743621826171875e-05,2.930754889228521e-14,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-moderate-v1,gac_fdw_multiregion_event_filter_summary
pair-f91fa71ba1fb2542405407ef,tolerance_equivalent,1,1,True,1,False,7.450580596923828e-09,4.555947378083782e-16,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-moderate-v1,gac_fdw_multiregion_event_filter_summary
