condition_id,repetition_count,fingerprint_count,dominant_fingerprint,dominant_fingerprint_share
cond-8e10f074460e2452d761,3,1,1e53bc6d8b2a2515ebe630e34f2ec79779da70ef99adc8c1b1fd1fa9369b4e2a,1.0
cond-8e785df292aebfd07c13,3,1,4208cf0d3d18828f2eb2d4aad79457ec1a25572c0b9d682d30fbab4db46ad4e5,1.0
cond-92a1bd311fb0048702ea,3,1,4208cf0d3d18828f2eb2d4aad79457ec1a25572c0b9d682d30fbab4db46ad4e5,1.0
cond-93b3ada989afb7c59810,3,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0
cond-95138c034ddd84d6c91e,3,1,1e53bc6d8b2a2515ebe630e34f2ec79779da70ef99adc8c1b1fd1fa9369b4e2a,1.0
cond-9698597d895bf28c92c9,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-98277f4a3e908871b5eb,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
cond-98688e66ad42e812aef9,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-9c359776cfbd26e1209f,3,1,1f7e67cc6ea09efb80c5695ddbd695b137f1c132f0cedbd577f7fd43f672abc7,1.0
cond-9e0bc2458da5ed44af3d,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
cond-b269be3e505ece7d383d,5,1,495f2d2b7009c5050d6a375d7e6b011b91612d3faf4ebd0909f3d3239422db0f,1.0
cond-b2fdb86400597d671700,3,1,ec53a25ba9da91cbb684540ad7c025b2c9a153b45a6a3644c765890694c95b2e,1.0
cond-b42d73a6d849ff95d8a6,3,1,ec53a25ba9da91cbb684540ad7c025b2c9a153b45a6a3644c765890694c95b2e,1.0
cond-b459da930a353f2ec5e0,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-b77c7d171a33f4a835f2,3,1,1f7e67cc6ea09efb80c5695ddbd695b137f1c132f0cedbd577f7fd43f672abc7,1.0
cond-b95414a49e47e1e18e23,5,1,e7170c1e0011e03f0b681cff9cd17cd337b3197c101d44b0968a14c7e29933ce,1.0
cond-ba07470531ca335e20aa,5,1,eed28bbbd899d9cd8c8865a70548bd848f07a275881b1a5032b45606899c3ad9,1.0
cond-bb2c7ac9eb6cbc37169c,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-bb861cdd5341ce6892be,3,1,bdfca485aa65d92fcbb2e852bdda362394cf31488e71885ae984fe8d8ed2637f,1.0
cond-bd140430ae62137804c5,5,1,eed28bbbd899d9cd8c8865a70548bd848f07a275881b1a5032b45606899c3ad9,1.0
cond-bf30004dc48a40699fc7,5,1,892229cc781dec3847a4f793bb7caccc38bbe608441979c01101d8065e4858cf,1.0
cond-c0092f66631f1ae01fc6,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-c2354b18983fde954627,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-c5b1cb80a15ad5f221e3,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-c640c975692de84cae06,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-c7752535b0651ad3a347,5,1,b3b45ef3e34baae335656405379dffc31455ac73d0ca77242b18e4f38b8018c6,1.0
cond-cca388d51eb3c5986b3a,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-d183514acf4239fd7160,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-d440ac0b04f4bf5b7186,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-d58a1a7d57bc70acde3c,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
cond-d5afdbe598daf23c73c0,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-d80fba772498162ebbf6,3,1,6fa6a810e585d93cab6900cd3230b72c02ad8b63128e79a55454e9da2bc013d0,1.0
cond-da01e051b792b0e29b50,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-ea1310ef7a785f25ad14,3,1,e07801afe9c17dec9638ce7fee4b18c71d75bdd3998afd0d505b01650c770232,1.0
cond-f461d0b4d2ee745f8be9,3,1,ffb63fa206350b47e8c842e31593a39da64d73d45189ec5733bb768632302488,1.0
cond-f852b03bbba6d24405e1,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-fb730b7faa8045049194,5,1,0f7dd07f6bfadf62a14fa18bcd759310c87f7c506ff641e84b93051dd642bd17,1.0
cond-fe7077a5b6b17cc15c54,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
