feature,family,transform,reference_state_count,observed_count,missing_share,distinct_count,selected,decision,panel
remote_citus_repartition_fanout_ratio_max,citus,log1p,6,0,1.0,0,False,all_missing,remote_transport
citus_repartition_observed_v2,citus,identity,6,6,0.0,1,False,constant,remote_transport
worker_task_actual_rows_sum,worker,log1p,6,6,0.0,4,True,selected,remote_transport
worker_task_actual_rows_cv,worker,identity,6,6,0.0,4,True,selected,remote_transport
worker_task_actual_rows_max_share,worker,identity,6,6,0.0,4,True,selected,remote_transport
worker_task_scan_actual_rows_sum,worker,log1p,6,6,0.0,4,True,selected,remote_transport
worker_task_scan_actual_rows_cv,worker,identity,6,6,0.0,4,True,selected,remote_transport
worker_task_scan_actual_rows_max_share,worker,identity,6,6,0.0,4,True,selected,remote_transport
worker_task_actual_time_sum,worker,log1p,6,0,1.0,0,False,all_missing,remote_transport
worker_task_actual_time_cv,worker,identity,6,0,1.0,0,False,all_missing,remote_transport
worker_task_actual_time_max_share,worker,identity,6,0,1.0,0,False,all_missing,remote_transport
worker_task_seq_scan_share,worker,identity,6,6,0.0,1,False,constant,remote_transport
worker_task_index_scan_share,worker,identity,6,6,0.0,1,False,constant,remote_transport
worker_task_join_node_count,worker,log1p,6,6,0.0,1,False,constant,remote_transport
worker_task_aggregate_node_count,worker,log1p,6,6,0.0,1,False,constant,remote_transport
worker_task_sort_node_count,worker,log1p,6,6,0.0,1,False,constant,remote_transport
worker_task_spill_count,worker,log1p,6,6,0.0,1,False,constant,remote_transport
worker_task_temp_written_sum,worker,log1p,6,0,1.0,0,False,all_missing,remote_transport
worker_task_within_region_worker_scan_rows_cv_max,worker,identity,6,6,0.0,4,True,selected,remote_transport
worker_task_within_region_worker_scan_rows_max_share_max,worker,identity,6,6,0.0,4,True,selected,remote_transport
regional_coordinator_tx_bytes_sum,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
analytics_rx_bytes_sum,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
worker_tx_bytes_sum,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
os_cpu_busy_pct_mean,telemetry,identity,6,6,0.0,6,True,selected,remote_transport
os_cpu_busy_pct_max,telemetry,identity,6,6,0.0,6,True,selected,remote_transport
os_mem_used_peak_bytes_max,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
os_disk_read_bytes_sum,telemetry,log1p,6,6,0.0,4,True,selected,remote_transport
os_disk_written_bytes_sum,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
os_net_rx_bytes_sum,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
os_net_tx_bytes_sum,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
os_tcp_retrans_segs_sum,telemetry,log1p,6,6,0.0,6,True,selected,remote_transport
os_tcp_timeouts_sum,telemetry,log1p,6,6,0.0,2,True,selected,remote_transport
edge_count,edge,log1p,6,6,0.0,1,False,constant,remote_transport
edge_remote_rows_sum,edge,log1p,6,6,0.0,1,False,constant,remote_transport
edge_remote_rows_max_share,edge,identity,6,0,1.0,0,False,all_missing,remote_transport
edge_remote_bytes_sum,edge,log1p,6,6,0.0,1,False,constant,remote_transport
edge_remote_bytes_max_share,edge,identity,6,0,1.0,0,False,all_missing,remote_transport
edge_foreign_scan_time_ms_sum,edge,log1p,6,6,0.0,6,True,selected,remote_transport
edge_regional_plan_time_ms_sum,edge,log1p,6,6,0.0,6,True,selected,remote_transport
edge_boundary_wait_ms_sum,edge,log1p,6,6,0.0,6,True,selected,remote_transport
edge_estimated_fetch_cycles_sum,edge,log1p,6,6,0.0,1,False,constant,remote_transport
edge_rtt_context_median_ms_mean,edge,log1p,6,6,0.0,3,True,selected,remote_transport
edge_rtt_context_median_ms_max,edge,log1p,6,6,0.0,1,False,constant,remote_transport
edge_source_tx_bytes_sum,edge,log1p,6,6,0.0,6,True,selected,remote_transport
edge_source_tx_bps_mean,edge,log1p,6,6,0.0,6,True,selected,remote_transport
edge_source_tx_bps_min,edge,log1p,6,6,0.0,6,True,selected,remote_transport
edge_qdisc_drops_sum,edge,log1p,6,6,0.0,1,False,constant,remote_transport
edge_qdisc_overlimits_sum,edge,log1p,6,6,0.0,1,False,constant,remote_transport
edge_tcp_retrans_sum,edge,log1p,6,6,0.0,6,True,selected,remote_transport
edge_available_share,edge,identity,6,6,0.0,1,False,constant,remote_transport
elapsed_seconds,execution,log1p,26,26,0.0,26,True,selected,gac_topk
result_row_count,execution,log1p,26,26,0.0,5,True,selected,gac_topk
result_output_byte_count,execution,log1p,26,26,0.0,10,True,selected,gac_topk
shared_blks_hit_sum,execution,log1p,26,26,0.0,1,False,constant,gac_topk
shared_blks_read_sum,execution,log1p,26,26,0.0,1,False,constant,gac_topk
temp_blks_written_sum,execution,log1p,26,26,0.0,14,True,selected,gac_topk
estimated_result_bytes,flow,log1p,26,26,0.0,5,True,selected,gac_topk
estimated_remote_output_bytes,flow,log1p,26,26,0.0,6,True,selected,gac_topk
estimated_fanin_bytes,flow,log1p,26,26,0.0,6,True,selected,gac_topk
coordinator_main_plan_total_time_ms,gac,log1p,26,26,0.0,26,True,selected,gac_topk
coordinator_foreign_scan_time_ms_sum,gac,log1p,26,26,0.0,26,True,selected,gac_topk
coordinator_non_foreign_time_share_proxy,gac,identity,26,26,0.0,26,True,selected,gac_topk
coordinator_fanin_rows,gac,log1p,26,26,0.0,6,True,selected,gac_topk
coordinator_fanin_bytes_estimated,gac,log1p,26,26,0.0,6,True,selected,gac_topk
coordinator_final_rows,gac,log1p,26,26,0.0,5,True,selected,gac_topk
coordinator_final_bytes_estimated,gac,log1p,26,26,0.0,5,True,selected,gac_topk
coordinator_blocking_input_rows_sum,gac,log1p,26,26,0.0,6,True,selected,gac_topk
coordinator_temp_written_blocks,gac,log1p,26,26,0.0,14,True,selected,gac_topk
coordinator_hash_batches_max,gac,log1p,26,0,1.0,0,False,all_missing,gac_topk
coordinator_sort_input_rows_sum,gac,log1p,26,26,0.0,6,True,selected,gac_topk
coordinator_sort_time_ms_max,gac,log1p,26,26,0.0,26,True,selected,gac_topk
coordinator_aggregate_input_rows_sum,gac,log1p,26,0,1.0,0,False,all_missing,gac_topk
coordinator_aggregate_time_ms_max,gac,log1p,26,0,1.0,0,False,all_missing,gac_topk
coordinator_join_input_rows_sum,gac,log1p,26,0,1.0,0,False,all_missing,gac_topk
coordinator_join_time_ms_max,gac,log1p,26,0,1.0,0,False,all_missing,gac_topk
task_count,region,log1p,26,26,0.0,2,True,selected,gac_topk
task_time_mean_ms,region,log1p,26,0,1.0,0,False,all_missing,gac_topk
task_time_cv,region,identity,26,0,1.0,0,False,all_missing,gac_topk
task_rows_mean,region,log1p,26,0,1.0,0,False,all_missing,gac_topk
task_rows_cv,region,identity,26,0,1.0,0,False,all_missing,gac_topk
remote_region_actual_rows_sum,region,log1p,26,26,0.0,6,True,selected,gac_topk
remote_region_actual_rows_cv,region,identity,26,26,0.0,6,True,selected,gac_topk
remote_region_actual_rows_max_share,region,identity,26,26,0.0,6,True,selected,gac_topk
remote_region_actual_time_sum,region,log1p,26,26,0.0,26,True,selected,gac_topk
remote_region_actual_time_cv,region,identity,26,26,0.0,26,True,selected,gac_topk
remote_region_actual_time_max_share,region,identity,26,26,0.0,26,True,selected,gac_topk
remote_region_tuple_bytes_sum,region,log1p,26,26,0.0,6,True,selected,gac_topk
remote_region_tuple_bytes_cv,region,identity,26,26,0.0,5,True,selected,gac_topk
remote_region_tuple_bytes_max_share,region,identity,26,26,0.0,5,True,selected,gac_topk
regional_temp_written_blocks_sum,region,log1p,26,26,0.0,6,True,selected,gac_topk
regional_spill_present,region,identity,26,26,0.0,1,False,constant,gac_topk
remote_citus_map_merge_job_count_sum,citus,log1p,26,0,1.0,0,False,all_missing,gac_topk
remote_citus_dependent_map_task_count_sum,citus,log1p,26,0,1.0,0,False,all_missing,gac_topk
remote_citus_repartition_fanout_ratio_max,citus,log1p,26,0,1.0,0,False,all_missing,gac_topk
citus_repartition_observed_v2,citus,identity,26,26,0.0,1,False,constant,gac_topk
worker_task_actual_rows_sum,worker,log1p,26,26,0.0,6,True,selected,gac_topk
worker_task_actual_rows_cv,worker,identity,26,26,0.0,6,True,selected,gac_topk
worker_task_actual_rows_max_share,worker,identity,26,26,0.0,6,True,selected,gac_topk
worker_task_scan_actual_rows_sum,worker,log1p,26,26,0.0,6,True,selected,gac_topk
worker_task_scan_actual_rows_cv,worker,identity,26,26,0.0,6,True,selected,gac_topk
worker_task_scan_actual_rows_max_share,worker,identity,26,26,0.0,6,True,selected,gac_topk
worker_task_actual_time_sum,worker,log1p,26,0,1.0,0,False,all_missing,gac_topk
worker_task_actual_time_cv,worker,identity,26,0,1.0,0,False,all_missing,gac_topk
worker_task_actual_time_max_share,worker,identity,26,0,1.0,0,False,all_missing,gac_topk
worker_task_seq_scan_share,worker,identity,26,26,0.0,2,True,selected,gac_topk
worker_task_index_scan_share,worker,identity,26,26,0.0,1,False,constant,gac_topk
worker_task_join_node_count,worker,log1p,26,26,0.0,1,False,constant,gac_topk
worker_task_aggregate_node_count,worker,log1p,26,26,0.0,1,False,constant,gac_topk
worker_task_sort_node_count,worker,log1p,26,26,0.0,1,False,constant,gac_topk
worker_task_spill_count,worker,log1p,26,26,0.0,1,False,constant,gac_topk
worker_task_temp_written_sum,worker,log1p,26,0,1.0,0,False,all_missing,gac_topk
worker_task_within_region_worker_scan_rows_cv_max,worker,identity,26,26,0.0,6,True,selected,gac_topk
worker_task_within_region_worker_scan_rows_max_share_max,worker,identity,26,26,0.0,6,True,selected,gac_topk
regional_coordinator_tx_bytes_sum,telemetry,log1p,26,26,0.0,26,True,selected,gac_topk
analytics_rx_bytes_sum,telemetry,log1p,26,26,0.0,26,True,selected,gac_topk
worker_tx_bytes_sum,telemetry,log1p,26,26,0.0,26,True,selected,gac_topk
os_cpu_busy_pct_mean,telemetry,identity,26,26,0.0,26,True,selected,gac_topk
os_cpu_busy_pct_max,telemetry,identity,26,26,0.0,25,True,selected,gac_topk
os_mem_used_peak_bytes_max,telemetry,log1p,26,26,0.0,26,True,selected,gac_topk
os_disk_read_bytes_sum,telemetry,log1p,26,26,0.0,7,True,selected,gac_topk
os_disk_written_bytes_sum,telemetry,log1p,26,26,0.0,23,True,selected,gac_topk
os_net_rx_bytes_sum,telemetry,log1p,26,26,0.0,26,True,selected,gac_topk
os_net_tx_bytes_sum,telemetry,log1p,26,26,0.0,26,True,selected,gac_topk
os_tcp_retrans_segs_sum,telemetry,log1p,26,26,0.0,18,True,selected,gac_topk
os_tcp_timeouts_sum,telemetry,log1p,26,26,0.0,2,True,selected,gac_topk
edge_count,edge,log1p,26,26,0.0,1,False,constant,gac_topk
edge_remote_rows_sum,edge,log1p,26,26,0.0,6,True,selected,gac_topk
edge_remote_rows_max_share,edge,identity,26,26,0.0,6,True,selected,gac_topk
edge_remote_bytes_sum,edge,log1p,26,26,0.0,6,True,selected,gac_topk
edge_remote_bytes_max_share,edge,identity,26,26,0.0,6,True,selected,gac_topk
edge_foreign_scan_time_ms_sum,edge,log1p,26,26,0.0,26,True,selected,gac_topk
edge_regional_plan_time_ms_sum,edge,log1p,26,26,0.0,26,True,selected,gac_topk
edge_boundary_wait_ms_sum,edge,log1p,26,26,0.0,26,True,selected,gac_topk
edge_estimated_fetch_cycles_sum,edge,log1p,26,26,0.0,13,True,selected,gac_topk
edge_rtt_context_median_ms_mean,edge,log1p,26,26,0.0,13,True,selected,gac_topk
edge_rtt_context_median_ms_max,edge,log1p,26,26,0.0,10,True,selected,gac_topk
edge_source_tx_bytes_sum,edge,log1p,26,26,0.0,26,True,selected,gac_topk
edge_source_tx_bps_mean,edge,log1p,26,26,0.0,26,True,selected,gac_topk
edge_source_tx_bps_min,edge,log1p,26,26,0.0,26,True,selected,gac_topk
edge_qdisc_drops_sum,edge,log1p,26,26,0.0,1,False,constant,gac_topk
edge_qdisc_overlimits_sum,edge,log1p,26,26,0.0,1,False,constant,gac_topk
edge_tcp_retrans_sum,edge,log1p,26,26,0.0,13,True,selected,gac_topk
edge_available_share,edge,identity,26,26,0.0,1,False,constant,gac_topk
